Area,Year,Item,Area Harvested,Yield,Humidity,Wind Speed,Temperature,Production
Bangladesh,1963,"Fruit, tropical fresh nes",13000,97692,NaN,NaN,NaN,127000
Bangladesh,1963,Garlic,10900,32294,NaN,NaN,NaN,35200
Bangladesh,1963,Ginger,3600,66667,NaN,NaN,NaN,24000
Bangladesh,1963,Grapefruit (inc. pomelos),600,41667,NaN,NaN,NaN,2500
Bangladesh,1963,"Groundnuts, with shell",8094,15063,NaN,NaN,NaN,12192
Bangladesh,1963,Jute,688000,16064,NaN,NaN,NaN,1105200
Bangladesh,1963,Lemons and limes,800,25000,NaN,NaN,NaN,2000
Bangladesh,1963,Lentils,72035,6770,NaN,NaN,NaN,48768
Bangladesh,1963,Lettuce and chicory,9500,56842,NaN,NaN,NaN,54000
Bangladesh,1963,Linseed,23067,4845,NaN,NaN,NaN,11176
Bangladesh,1963,Maize,5261,7725,NaN,NaN,NaN,4064
Bangladesh,1963,"Mangoes, mangosteens, guavas",41000,129512,NaN,NaN,NaN,531000
Bangladesh,1963,"Melons, other (inc.cantaloupes)",6000,166667,NaN,NaN,NaN,100000
Bangladesh,1963,Millet,51800,7066,NaN,NaN,NaN,36600
Bangladesh,1963,Oilseeds nes,5261,3862,NaN,NaN,NaN,2032
Bangladesh,1963,"Onions, dry",25500,55020,NaN,NaN,NaN,140300
Bangladesh,1963,Oranges,3500,48571,NaN,NaN,NaN,17000
Bangladesh,1963,"Peas, dry",40000,6500,NaN,NaN,NaN,26000
Bangladesh,1963,Pigeon peas,3642,8369,NaN,NaN,NaN,3048
Bangladesh,1963,Pineapples,6100,59962,NaN,NaN,NaN,36577
Bangladesh,1963,Potatoes,57871,62676,NaN,NaN,NaN,362712
Bangladesh,1963,Pulses nes,128287,6969,NaN,NaN,NaN,89408
Bangladesh,1963,"Rice, paddy",9007995,17690,NaN,NaN,NaN,15934944
Bangladesh,1963,Sesame seed,52205,4865,NaN,NaN,NaN,25400
Bangladesh,1963,Sorghum,809,12559,NaN,NaN,NaN,1016
Bangladesh,1963,Spices nes,29500,27559,NaN,NaN,NaN,81300
Bangladesh,1963,Spinach,1400,45714,NaN,NaN,NaN,6400
Bangladesh,1963,Sugar cane,128691,374928,NaN,NaN,NaN,4824984
Bangladesh,1963,Sugar crops nes,9700,371134,NaN,NaN,NaN,360000
Bangladesh,1963,Sweet potatoes,41000,90244,NaN,NaN,NaN,370000
Bangladesh,1963,"Tangerines, mandarins, clementines, satsumas",700,71429,NaN,NaN,NaN,5000
Bangladesh,1963,Tea,36000,6833,NaN,NaN,NaN,24599
Bangladesh,1963,Tobacco,41300,7046,NaN,NaN,NaN,29100
Bangladesh,1963,Tomatoes,8099,59326,NaN,NaN,NaN,48048
Bangladesh,1963,"Vegetables, fresh nes",74395,47824,NaN,NaN,NaN,355784
Bangladesh,1963,Wheat,73654,44704,NaN,NaN,NaN,6069
Bangladesh,1962,Roots and Tubers,98871,74108,NaN,NaN,NaN,732712
Bangladesh,1962,Vegetables Primary,163000,49564,NaN,NaN,NaN,807900
Bangladesh,1964,Areca nuts,79700,7139,NaN,NaN,NaN,56898
Bangladesh,1964,Bananas,36000,158639,NaN,NaN,NaN,571100
Bangladesh,1964,Barley,23877,5532,NaN,NaN,NaN,13208
Bangladesh,1964,"Bastfibres, others",37700,11910,NaN,NaN,NaN,44900
Bangladesh,1964,"Beans, dry",66773,7304,NaN,NaN,NaN,48768
Bangladesh,1964,"Beans, green",4329,37958,NaN,NaN,NaN,16432
Bangladesh,1964,Berries nes,600,50000,NaN,NaN,NaN,3000
Bangladesh,1964,Cabbages and other brassicas,5850,59299,NaN,NaN,NaN,34690
Bangladesh,1964,Castor oil seed,405,5012,NaN,NaN,NaN,203
Bangladesh,1964,Cauliflowers and broccoli,5499,52017,NaN,NaN,NaN,28604
Bangladesh,1964,Chick peas,51800,6473,NaN,NaN,NaN,33528
Bangladesh,1964,"Chillies and peppers, dry",78500,6777,NaN,NaN,NaN,53200
Bangladesh,1964,Coconuts,19000,33155,NaN,NaN,NaN,62995
Bangladesh,1964,Cucumbers and gherkins,2574,44922,NaN,NaN,NaN,11563
Bangladesh,1964,Fibre crops nes,1300,9231,NaN,NaN,NaN,1200
Bangladesh,1964,"Fruit, fresh nes",9000,66667,NaN,NaN,NaN,60000
Bangladesh,1964,"Fruit, tropical fresh nes",14000,92143,NaN,NaN,NaN,129000
Bangladesh,1964,Garlic,10500,32381,NaN,NaN,NaN,34000
Bangladesh,1964,Ginger,3900,66667,NaN,NaN,NaN,26000
Bangladesh,1964,Grapefruit (inc. pomelos),600,41667,NaN,NaN,NaN,2500
Bangladesh,1964,"Groundnuts, with shell",9308,13098,NaN,NaN,NaN,12192
Bangladesh,1964,Jute,671800,14645,NaN,NaN,NaN,983880
Bangladesh,1964,Lemons and limes,1200,25000,NaN,NaN,NaN,3000
Bangladesh,1964,Lentils,67583,7066,NaN,NaN,NaN,47752
Bangladesh,1964,Lettuce and chicory,10000,57000,NaN,NaN,NaN,57000
Bangladesh,1964,Linseed,20639,4430,NaN,NaN,NaN,9144
Bangladesh,1964,Maize,4047,7532,NaN,NaN,NaN,3048
Bangladesh,1964,"Mangoes, mangosteens, guavas",42000,127619,NaN,NaN,NaN,536000
Bangladesh,1964,"Melons, other (inc.cantaloupes)",6000,166667,NaN,NaN,NaN,100000
Bangladesh,1964,Millet,48900,7485,NaN,NaN,NaN,36600
Bangladesh,1964,Oilseeds nes,4856,4185,NaN,NaN,NaN,2032
Bangladesh,1964,"Onions, dry",25500,51804,NaN,NaN,NaN,132100
Bangladesh,1964,Oranges,3900,51282,NaN,NaN,NaN,20000
Bangladesh,1964,"Peas, dry",50000,6600,NaN,NaN,NaN,33000
Bangladesh,1964,Pigeon peas,3642,8369,NaN,NaN,NaN,3048
Bangladesh,1964,Pineapples,7300,61252,NaN,NaN,NaN,44714
Bangladesh,1964,Potatoes,55442,58458,NaN,NaN,NaN,324104
Bangladesh,1964,Pulses nes,140833,7647,NaN,NaN,NaN,107696
Bangladesh,1964,"Rice, paddy",9228955,17070,NaN,NaN,NaN,15753588
Bangladesh,1964,Sesame seed,50991,4384,NaN,NaN,NaN,22352
Bangladesh,1964,Sorghum,809,12559,NaN,NaN,NaN,1016
Bangladesh,1964,Spices nes,29900,25819,NaN,NaN,NaN,77200
Bangladesh,1964,Spinach,1400,46429,NaN,NaN,NaN,6500
Bangladesh,1964,Sugar cane,140023,389137,NaN,NaN,NaN,5448808
Bangladesh,1964,Sugar crops nes,10000,370000,NaN,NaN,NaN,370000
Bangladesh,1964,Sweet potatoes,44000,90909,NaN,NaN,NaN,400000
Bangladesh,1964,"Tangerines, mandarins, clementines, satsumas",800,75000,NaN,NaN,NaN,6000
Bangladesh,1964,Tea,37000,7631,NaN,NaN,NaN,28233
Bangladesh,1964,Tobacco,40900,6895,NaN,NaN,NaN,28200
Bangladesh,1964,Tomatoes,8190,62421,NaN,NaN,NaN,51123
Bangladesh,1964,"Vegetables, fresh nes",75231,50318,NaN,NaN,NaN,378549
Bangladesh,1964,Wheat,57466,34544,NaN,NaN,NaN,6011
Bangladesh,1964,Roots and Tubers,99442,72817,NaN,NaN,NaN,724104
Bangladesh,1964,Vegetables Primary,164400,50985,NaN,NaN,NaN,838200
Bangladesh,1965,Areca nuts,71200,6564,NaN,NaN,NaN,46738
Bangladesh,1965,Bananas,40500,153037,NaN,NaN,NaN,619800
Bangladesh,1965,Barley,20639,5907,NaN,NaN,NaN,12192
Bangladesh,1965,"Bastfibres, others",50700,10757,NaN,NaN,NaN,54540
Bangladesh,1965,"Beans, dry",67583,7216,NaN,NaN,NaN,48768
Bangladesh,1965,"Beans, green",4251,41755,NaN,NaN,NaN,17750
Bangladesh,1965,Berries nes,600,50000,NaN,NaN,NaN,3000
Bangladesh,1965,Cabbages and other brassicas,5745,65225,NaN,NaN,NaN,37472
Bangladesh,1965,Castor oil seed,405,5012,NaN,NaN,NaN,203
Bangladesh,1965,Cauliflowers and broccoli,5400,57219,NaN,NaN,NaN,30898
Bangladesh,1965,Chick peas,51396,7314,NaN,NaN,NaN,37592
Bangladesh,1965,"Chillies and peppers, dry",78500,6586,NaN,NaN,NaN,51700
Bangladesh,1965,Coconuts,21000,40642,NaN,NaN,NaN,85348
Bangladesh,1965,Cucumbers and gherkins,2528,49407,NaN,NaN,NaN,12490
Bangladesh,1965,Fibre crops nes,1100,9091,NaN,NaN,NaN,1000
Bangladesh,1965,"Fruit, fresh nes",9000,66667,NaN,NaN,NaN,60000
Bangladesh,1965,"Fruit, tropical fresh nes",17000,91765,NaN,NaN,NaN,156000
Bangladesh,1965,Garlic,10500,34762,NaN,NaN,NaN,36500
Bangladesh,1965,Ginger,4200,66667,NaN,NaN,NaN,28000
Bangladesh,1965,Grapefruit (inc. pomelos),600,41667,NaN,NaN,NaN,2500
Bangladesh,1965,"Groundnuts, with shell",10117,14060,NaN,NaN,NaN,14224
Bangladesh,1965,Jute,886000,14890,NaN,NaN,NaN,1319220
Bangladesh,1965,Lemons and limes,800,25000,NaN,NaN,NaN,2000
Bangladesh,1965,Lentils,66369,6736,NaN,NaN,NaN,44704
Bangladesh,1965,Lettuce and chicory,10500,57143,NaN,NaN,NaN,60000
Bangladesh,1965,Linseed,21448,4263,NaN,NaN,NaN,9144
Bangladesh,1965,Maize,4047,7532,NaN,NaN,NaN,3048
Bangladesh,1965,"Mangoes, mangosteens, guavas",38000,126316,NaN,NaN,NaN,480000
Bangladesh,1965,"Melons, other (inc.cantaloupes)",6000,166667,NaN,NaN,NaN,100000
Bangladesh,1965,Millet,53000,9585,NaN,NaN,NaN,50800
Bangladesh,1965,Oilseeds nes,4856,4185,NaN,NaN,NaN,2032
Bangladesh,1965,"Onions, dry",27500,52800,NaN,NaN,NaN,145200
Bangladesh,1965,Oranges,3900,51282,NaN,NaN,NaN,20000
Bangladesh,1965,"Peas, dry",50000,6600,NaN,NaN,NaN,33000
Bangladesh,1965,Pigeon peas,3642,8369,NaN,NaN,NaN,3048
Bangladesh,1965,Pineapples,7700,58652,NaN,NaN,NaN,45162
Bangladesh,1965,Potatoes,55442,72386,NaN,NaN,NaN,401320
Bangladesh,1965,Pulses nes,142046,7439,NaN,NaN,NaN,105664
Bangladesh,1965,"Rice, paddy",9360480,16827,NaN,NaN,NaN,15750540
Bangladesh,1965,Sesame seed,50182,4859,NaN,NaN,NaN,24384
Bangladesh,1965,Sorghum,809,12559,NaN,NaN,NaN,1016
Bangladesh,1965,Spices nes,12900,32326,NaN,NaN,NaN,41700
Bangladesh,1965,Spinach,1450,45517,NaN,NaN,NaN,6600
Bangladesh,1965,Sugar cane,144070,439418,NaN,NaN,NaN,6330696
Bangladesh,1965,Sugar crops nes,10500,371429,NaN,NaN,NaN,390000
Bangladesh,1965,Sweet potatoes,46000,95652,NaN,NaN,NaN,440000
Bangladesh,1965,"Tangerines, mandarins, clementines, satsumas",700,71429,NaN,NaN,NaN,5000
Bangladesh,1965,Tea,38000,6998,NaN,NaN,NaN,26592
Bangladesh,1965,Tobacco,41700,6523,NaN,NaN,NaN,27200
Bangladesh,1965,Tomatoes,8043,68657,NaN,NaN,NaN,55221
Bangladesh,1965,"Vegetables, fresh nes",73881,55346,NaN,NaN,NaN,408903
Bangladesh,1965,Wheat,53419,34544,NaN,NaN,NaN,6467
Bangladesh,1965,Roots and Tubers,101442,82936,NaN,NaN,NaN,841320
Bangladesh,1965,Vegetables Primary,164850,54941,NaN,NaN,NaN,905700
Bangladesh,1966,Areca nuts,44900,5431,NaN,NaN,NaN,24385
Bangladesh,1966,Bananas,42100,180523,NaN,NaN,NaN,760000
Bangladesh,1966,Barley,21900,5571,NaN,NaN,NaN,12200
Bangladesh,1966,"Bastfibres, others",23500,11123,NaN,NaN,NaN,26140
Bangladesh,1966,"Beans, dry",78915,7725,NaN,NaN,NaN,60960
Bangladesh,1966,"Beans, green",4222,43212,NaN,NaN,NaN,18244
Bangladesh,1966,Berries nes,800,46250,NaN,NaN,NaN,3700
Bangladesh,1966,Cabbages and other brassicas,5705,67511,NaN,NaN,NaN,38515
Bangladesh,1966,Castor oil seed,405,5012,NaN,NaN,NaN,203
Bangladesh,1966,Cauliflowers and broccoli,5363,59217,NaN,NaN,NaN,31758
Bangladesh,1966,Chick peas,54600,8004,NaN,NaN,NaN,43700
Bangladesh,1966,"Chillies and peppers, dry",77700,6795,NaN,NaN,NaN,52800
Bangladesh,1966,Coconuts,36800,25125,NaN,NaN,NaN,92461
Bangladesh,1966,Cucumbers and gherkins,2510,51147,NaN,NaN,NaN,12838
Bangladesh,1966,Fibre crops nes,900,9444,NaN,NaN,NaN,850
Bangladesh,1966,"Fruit, fresh nes",9000,66667,NaN,NaN,NaN,60000
Bangladesh,1966,"Fruit, tropical fresh nes",15800,90696,NaN,NaN,NaN,143300
Bangladesh,1966,Garlic,13800,36812,NaN,NaN,NaN,50800
Bangladesh,1966,Ginger,4400,68182,NaN,NaN,NaN,30000
Bangladesh,1966,Grapefruit (inc. pomelos),700,42857,NaN,NaN,NaN,3000
Bangladesh,1966,"Groundnuts, with shell",16600,14699,NaN,NaN,NaN,24400
Bangladesh,1966,Jute,876200,14331,NaN,NaN,NaN,1255680
Bangladesh,1966,Lemons and limes,1500,26667,NaN,NaN,NaN,4000
Bangladesh,1966,Lentils,68000,6868,NaN,NaN,NaN,46700
Bangladesh,1966,Lettuce and chicory,11000,57273,NaN,NaN,NaN,63000
