Area,Item,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Bangladesh,Spinach,Area harvested,ha,1350,1350,1400,1400,1450,1450,1500,1500,1550,1600,1650,1700,1722,1766,1999,2088,2102,2078,2245,2432,2607,2785,2825,2813,2875,2965,3220,3543,3750,4014,3931,4140,4403,4450,4450,4850,5048,5176,5260,5666,5666,5666,5666,6070,6530,7130,7436,7793,8016,8181,8077,8094,8094,8094,8237,8722,8744,9257,9580
Bangladesh,Spinach,Yield,hg/ha,45926,46667,45714,46429,45517,46207,45333,45333,45161,44375,43636,43529,43926,44015,44952,45690,45366,46059,45661,46706,47537,46553,47009,47366,47913,46779,45528,45795,43819,45279,46655,46920,47536,47191,49438,47423,48910,47836,47529,45888,47653,47653,49418,47776,48591,51199,51378,56499,53515,55312,53473,53126,53126,54361,56324,57963,75814,60072,60142
Bangladesh,Spinach,Production,tonnes,6200,6300,6400,6500,6600,6700,6800,6800,7000,7100,7200,7400,7564,7773,8986,9540,9536,9571,10251,11359,12393,12965,13280,13324,13775,13870,14660,16225,16432,18175,18340,19425,20930,21000,22000,23000,24690,24760,25000,26000,27000,27000,28000,29000,31730,36505,38205,44030,42898,45251,43190,43000,43000,44000,46394,50555,66292,55609,57616
Bangladesh,Sugar cane,Area harvested,ha,112908,117360,128691,140023,144070,153400,164300,166700,164700,165900,163500,140421,128327,147483,153602,133040,144590,153811,154901,151194,148774,161008,165769,166627,163635,160220,164708,173280,172078,186378,191077,187325,184688,180800,180099,174445,175580,175152,174000,170374,168826,162753,166172,163709,157131,152396,150059,129473,126261,117500,116175,107621,109264,107219,104263,98357,92060,90156,81062
Bangladesh,Sugar cane,Yield,hg/ha,355890,382472,374928,389137,439418,500078,499087,462555,450158,453213,472165,411396,421087,436897,438880,449539,449810,440610,447866,441553,443548,443205,443894,430256,420328,414460,418675,415936,389777,398295,402034,397470,406444,393293,413420,410736,428326,421275,399478,405578,399346,399501,411525,396047,408791,361619,384512,384919,414431,382197,402096,427705,405806,420448,425277,427788,419593,403604,387595
Bangladesh,Sugar cane,Production,tonnes,4018280,4488688,4824984,5448808,6330696,7671200,8200000,7710800,7414100,7518800,7719900,5776860,5403684,6443484,6741283,5980663,6503802,6777069,6937494,6676010,6598838,7135963,7358380,7169220,6878040,6640480,6895910,7207345,6707205,7423345,7681940,7445615,7506525,7110740,7445650,7165090,7520540,7378710,6950925,6910000,6742000,6502000,6838395,6483640,6423380,5510930,5769945,4983656,5232649,4490812,4671348,4603003,4434000,4508000,4434070,4207592,3862775,3638731,3141923
Bangladesh,Sugar crops nes,Area harvested,ha,9200,9500,9700,10000,10500,11300,12400,13800,14634,12977,12700,12644,12679,12777,12535,12704,12849,13004,12964,13276,13108,13350,13443,13452,13450,12926,12887,12223,12184,12658,12869,13061,13375,13750,14570,14570,14940,14940,15781,15781,16185,16200,16592,16997,18211,20234,21444,17730,17045,12000,13966,14900,12100,14650,13840,11780,11126,11682,9019
Bangladesh,Sugar crops nes,Yield,hg/ha,369565,368421,371134,370000,371429,371681,362903,362319,367470,569343,548875,455925,426790,426484,395020,381641,364507,368321,361925,357156,351666,344470,311106,316253,289618,279337,269547,244208,227368,226991,224765,222020,222931,221818,213452,216198,211513,216198,210380,185033,185357,171605,179605,186504,187799,191756,157536,170370,183377,262480,230657,204698,242149,213652,217441,230980,232588,232898,238320
Bangladesh,Sugar crops nes,Production,tonnes,340000,350000,360000,370000,390000,420000,450000,500000,537755,738836,697071,576471,541127,544918,495157,484837,468355,478964,469200,474160,460964,459868,418220,425424,389536,361071,347365,298495,277025,287325,289250,289980,298170,305000,311000,315000,316000,323000,332000,292000,300000,278000,298000,317000,342000,388000,337820,302066,312566,314976,322135,305000,293000,313000,300938,272094,258777,272072,214941
Bangladesh,Sugar Raw Centrifugal,Production,tonnes,59800,74000,78300,96800,81500,91400,125000,120700,64200,102200,117400,26100,20700,96800,108700,94600,153300,193500,143500,102200,157700,219600,193500,166300,96700,90200,197800,193500,119600,199800,267400,212400,203800,240600,293600,200100,147100,180900,166300,134200,106200,222100,192800,129500,115000,144000,178000,177000,86000,66000,109000,75000,116000,139000,84000,63000,127000,87000,
