Area,Year,Item,Area Harvested,Production,Yield
Bangladesh,1962,Sugar crops nes,9700,360000,371134
Bangladesh,1962,Sweet potatoes,41000,370000,90244
Bangladesh,1962,"Tangerines, mandarins, clementines, satsumas",700,5000,71429
Bangladesh,1962,Tea,36000,24599,6833
Bangladesh,1962,Tobacco,41300,29100,7046
Bangladesh,1962,Tomatoes,8099,48048,59326
Bangladesh,1962,"Vegetables, fresh nes",74395,355784,47824
Bangladesh,1962,Wheat,73654,6069,44704
Bangladesh,1962,Roots and Tubers,98871,732712,74108
Bangladesh,1962,Vegetables Primary,163000,807900,49564
Bangladesh,1964,Areca nuts,79700,56898,7139
Bangladesh,1964,Bananas,36000,571100,158639
Bangladesh,1964,Barley,23877,13208,5532
Bangladesh,1964,"Bastfibres, others",37700,44900,11910
Bangladesh,1964,"Beans, dry",66773,48768,7304
Bangladesh,1964,"Beans, green",4329,16432,37958
Bangladesh,1964,Berries nes,600,3000,50000
Bangladesh,1964,Cabbages and other brassicas,5850,34690,59299
Bangladesh,1964,Castor oil seed,405,203,5012
Bangladesh,1964,Cauliflowers and broccoli,5499,28604,52017
Bangladesh,1964,Chick peas,51800,33528,6473
Bangladesh,1964,"Chillies and peppers, dry",78500,53200,6777
Bangladesh,1964,Coconuts,19000,62995,33155
Bangladesh,1964,Cucumbers and gherkins,2574,11563,44922
Bangladesh,1964,Fibre crops nes,1300,1200,9231
Bangladesh,1964,"Fruit, fresh nes",9000,60000,66667
Bangladesh,1964,"Fruit, tropical fresh nes",14000,129000,92143
Bangladesh,1964,Garlic,10500,34000,32381
Bangladesh,1964,Ginger,3900,26000,66667
Bangladesh,1964,Grapefruit (inc. pomelos),600,2500,41667
Bangladesh,1964,"Groundnuts, with shell",9308,12192,13098
Bangladesh,1964,Jute,671800,983880,14645
Bangladesh,1964,Lemons and limes,1200,3000,25000
Bangladesh,1964,Lentils,67583,47752,7066
Bangladesh,1964,Lettuce and chicory,10000,57000,57000
Bangladesh,1964,Linseed,20639,9144,4430
Bangladesh,1964,Maize,4047,3048,7532
Bangladesh,1964,"Mangoes, mangosteens, guavas",42000,536000,127619
Bangladesh,1964,"Melons, other (inc.cantaloupes)",6000,100000,166667
Bangladesh,1964,Millet,48900,36600,7485
