Area,Year,Item,Area Harvested,Production,Yeild
Bangladesh,Y2007,Barley,929,755,8127
Bangladesh,Y2008,Barley,613,537,8760
Bangladesh,Y2009,Barley,549,472,8597
Bangladesh,Y2010,Barley,619,528,8530
Bangladesh,Y2011,Barley,547,484,8848
Bangladesh,Y2012,Barley,361,320,8864
Bangladesh,Y2013,Barley,290,260,8966
Bangladesh,Y2014,Barley,248,266,10726
Bangladesh,Y2015,Barley,348,307,8822
Bangladesh,Y2016,Barley,356,317,8904
Bangladesh,Y2017,Barley,329,287,8723
Bangladesh,Y2018,Barley,301,244,8106
Bangladesh,Y2019,Barley,191,157,8220
Bangladesh,Y1961,"Bastfibres, others",30900,34350,11117
Bangladesh,Y1962,"Bastfibres, others",30900,34900,11294
Bangladesh,Y1963,"Bastfibres, others",31700,34170,10779
Bangladesh,Y1964,"Bastfibres, others",37700,44900,11910
Bangladesh,Y1965,"Bastfibres, others",50700,54540,10757
Bangladesh,Y1966,"Bastfibres, others",23500,26140,11123
Bangladesh,Y1967,"Bastfibres, others",51100,57960,11342
Bangladesh,Y1968,"Bastfibres, others",25205,26926,10683
Bangladesh,Y1969,"Bastfibres, others",38731,44283,11433
Bangladesh,Y1970,"Bastfibres, others",27305,28380,10394
Bangladesh,Y1971,"Bastfibres, others",23316,21531,9234
Bangladesh,Y1972,"Bastfibres, others",24038,24012,9989
Bangladesh,Y1973,"Bastfibres, others",21929,22558,10287
Bangladesh,Y1974,"Bastfibres, others",15402,13319,8648
Bangladesh,Y1975,"Bastfibres, others",13363,13745,10286
Bangladesh,Y1976,"Bastfibres, others",14542,14959,10287
Bangladesh,Y1977,"Bastfibres, others",15176,16344,10770
Bangladesh,Y1978,"Bastfibres, others",16062,18659,11617
Bangladesh,Y1979,"Bastfibres, others",13740,15473,11261
Bangladesh,Y1980,"Bastfibres, others",10221,9845,9632
Bangladesh,Y1981,"Bastfibres, others",9758,9730,9971
Bangladesh,Y1982,"Bastfibres, others",9505,9116,9591
Bangladesh,Y1983,"Bastfibres, others",8732,8599,9848
Bangladesh,Y1984,"Bastfibres, others",9063,8457,9331
Bangladesh,Y1985,"Bastfibres, others",10360,9732,9394
Bangladesh,Y1986,"Bastfibres, others",9331,9676,10370
Bangladesh,Y1987,"Bastfibres, others",7370,7706,10456
Bangladesh,Y1988,"Bastfibres, others",5914,5695,9630
Bangladesh,Y1989,"Bastfibres, others",6941,7083,10205
Bangladesh,Y1990,"Bastfibres, others",20107,14379,7151
Bangladesh,Y1991,"Bastfibres, others",5000,5000,10000
Bangladesh,Y1992,"Bastfibres, others",1000,1000,10000
Bangladesh,Y1993,"Bastfibres, others",992,1000,10081
Bangladesh,Y1994,"Bastfibres, others",7000,7000,10000
Bangladesh,Y1995,"Bastfibres, others",1000,1000,10000
Bangladesh,Y1996,"Bastfibres, others",2238,2326,10393
