FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1981-1982,Rajshahi,1082770,513660
1981-1982,Rangpur,1389270,821520
1982-1983,Bandarban,0,0
1982-1983,Chittagong,549115,403695
1982-1983,Comilla,925195,494835
1982-1983,Khagrachari,0,0
1982-1983,Noakhali,698420,336245
1982-1983,Rangamati,81320,54360
1982-1983,Sylhet,1142050,525610
1982-1983,Dhaka,650250,315055
1982-1983,Faridpur,714790,227050
1982-1983,Jamalpur,520425,245950
1982-1983,Kishoregonj,578460,325755
1982-1983,Mymensingh,649100,350950
1982-1983,Tangail,439180,200940
1982-1983,Barisal,920925,424030
1982-1983,Jessore,651930,291130
1982-1983,Khulna,989970,493190
1982-1983,Kushtia,143845,67140
1982-1983,Patuakhali,688520,328275
1982-1983,Bogra,636145,356310
1982-1983,Dinajpur,875150,453675
1982-1983,Pabna,520260,228215
1982-1983,Rajshahi,1061115,508275
1982-1983,Rangpur,1381250,852665
1983-1984,Bandarban,12970,10775
1983-1984,Chittagong,556480,408530
1983-1984,Comilla,926855,493810
1983-1984,Khagrachari,0,0
1983-1984,Noakhali,701895,367575
1983-1984,Rangamati,72070,49485
1983-1984,Sylhet,1157365,564415
1983-1984,Dhaka,648480,312090
1983-1984,Faridpur,683225,237730
1983-1984,Jamalpur,497220,236660
1983-1984,Kishoregonj,586215,281905
1983-1984,Mymensingh,644795,342825
1983-1984,Tangail,428845,201840
1983-1984,Barisal,933275,455880
1983-1984,Jessore,654045,327780
1983-1984,Khulna,1003265,520440
1983-1984,Kushtia,143805,80345
1983-1984,Patuakhali,697755,365480
1983-1984,Bogra,644675,389345
1983-1984,Dinajpur,880805,498180
1983-1984,Pabna,519180,243100
1983-1984,Rajshahi,1066310,551660
1983-1984,Rangpur,1385700,871875
1984-1985,Bandarban,13750,10820
1984-1985,Chittagong,552520,422680
1984-1985,Comilla,877415,482465
1984-1985,Khagrachari,27540,22465
1984-1985,Noakhali,733905,423035
1984-1985,Rangamati,15540,13305
1984-1985,Sylhet,992270,505570
1984-1985,Dhaka,634450,301180
1984-1985,Faridpur,537420,185825
1984-1985,Jamalpur,467500,242455
1984-1985,Kishoregonj,600400,324940
1984-1985,Mymensingh,651985,373395
1984-1985,Tangail,380745,158900
1984-1985,Barisal,921770,482515
1984-1985,Jessore,516120,322345
1984-1985,Khulna,1011125,622720
1984-1985,Kushtia,161975,107115
1984-1985,Patuakhali,721875,363885
1984-1985,Bogra,617840,425525
1984-1985,Dinajpur,870395,529000
1984-1985,Pabna,414165,157730
1984-1985,Rajshahi,1013430,525265
1984-1985,Rangpur,1386395,927940
1985-1986,Bandarban,12270,9485
1985-1986,Chittagong,544560,429280
1985-1986,Comilla,936750,531450
1985-1986,Khagrachari,36175,29845
1985-1986,Noakhali,781080,418640
1985-1986,Rangamati,17015,14895
1985-1986,Sylhet,1131000,582750
1985-1986,Dhaka,621540,309690
1985-1986,Faridpur,669400,255720
1985-1986,Jamalpur,460810,263500
1985-1986,Kishoregonj,570380,321405
1985-1986,Mymensingh,673940,435315
1985-1986,Tangail,378190,177945
1985-1986,Barisal,978000,531460
1985-1986,Jessore,678820,412170
1985-1986,Khulna,1039360,607875
1985-1986,Kushtia,198125,120575
1985-1986,Patuakhali,751210,396315
1985-1986,Bogra,657855,445610
1985-1986,Dinajpur,869605,545785
1985-1986,Pabna,458100,212475
1985-1986,Rajshahi,1035080,557255
1985-1986,Rangpur,1408610,930040
1986-1987,Bandarban,13440,11340
1986-1987,Chittagong,620580,509515
1986-1987,Comilla,938715,524325
1986-1987,Khagrachari,26625,20435
1986-1987,Noakhali,731965,418945
1986-1987,Rangamati,16240,15005
1986-1987,Sylhet,1098450,552580
1986-1987,Dhaka,695215,335545
1986-1987,Faridpur,688955,258750
1986-1987,Jamalpur,468645,263115
1986-1987,Kishoregonj,621015,327035
1986-1987,Mymensingh,639760,382480
1986-1987,Tangail,420840,193500
1986-1987,Barisal,984260,544565
1986-1987,Jessore,663360,380690
1986-1987,Khulna,1010110,497020
1986-1987,Kushtia,191825,114095
1986-1987,Patuakhali,775400,379240
1986-1987,Bogra,632080,410070
1986-1987,Dinajpur,866875,525085
1986-1987,Pabna,470540,203635
1986-1987,Rajshahi,991505,510140
1986-1987,Rangpur,1391705,887815
1987-1988,Bandarban,15225,9545
1987-1988,Chittagong,642560,514370
1987-1988,Comilla,870745,496500
1987-1988,Khagrachari,23455,19580
1987-1988,Noakhali,600730,316665
1987-1988,Rangamati,15660,15675
1987-1988,Sylhet,1048405,578830
1987-1988,Dhaka,573270,258080
1987-1988,Faridpur,687575,211715
1987-1988,Jamalpur,432305,227125
1987-1988,Kishoregonj,481650,314495
1987-1988,Mymensingh,577835,378395
1987-1988,Tangail,386730,160535
1987-1988,Barisal,978440,518635
1987-1988,Jessore,651040,360325
1987-1988,Khulna,905605,524560
1987-1988,Kushtia,203980,129115
1987-1988,Patuakhali,776035,411050
1987-1988,Bogra,530695,351510
1987-1988,Dinajpur,858205,504820
1987-1988,Pabna,261755,99250
