FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1982-1983,Mymensingh,156405,130440
1982-1983,Tangail,212735,262145
1982-1983,Barisal,114930,110720
1982-1983,Jessore,70235,78195
1982-1983,Khulna,54925,44175
1982-1983,Kushtia,10060,8885
1982-1983,Patuakhali,21385,17900
1982-1983,Bogra,110890,127590
1982-1983,Dinajpur,28185,31225
1982-1983,Pabna,103765,128215
1982-1983,Rajshahi,128290,130080
1982-1983,Rangpur,119240,124920
1983-1984,Bandarban,3100,2795
1983-1984,Chittagong,275430,303560
1983-1984,Comilla,280435,283000
1983-1984,Khagrachari,9540,7695
1983-1984,Noakhali,153570,149050
1983-1984,Rangamati,14655,16260
1983-1984,Sylhet,601690,423215
1983-1984,Dhaka,269945,296485
1983-1984,Faridpur,97285,89405
1983-1984,Jamalpur,124560,115990
1983-1984,Kishoregonj,447170,390155
1983-1984,Mymensingh,154770,130190
1983-1984,Tangail,185365,220385
1983-1984,Barisal,78875,73920
1983-1984,Jessore,75745,76870
1983-1984,Khulna,50100,41730
1983-1984,Kushtia,8555,6760
1983-1984,Patuakhali,24295,13170
1983-1984,Bogra,170155,189940
1983-1984,Dinajpur,30850,34625
1983-1984,Pabna,127625,138040
1983-1984,Rajshahi,151915,167130
1983-1984,Rangpur,127040,126175
1984-1985,Bandarban,3070,2635
1984-1985,Chittagong,320695,292210
1984-1985,Comilla,283695,317739
1984-1985,Khagrachari,8555,7781
1984-1985,Noakhali,182465,186536
1984-1985,Rangamati,17700,19080
1984-1985,Sylhet,623875,459055
1984-1985,Dhaka,273800,298560
1984-1985,Faridpur,142295,171830
1984-1985,Jamalpur,172615,172420
1984-1985,Kishoregonj,481775,484590
1984-1985,Mymensingh,175745,162845
1984-1985,Tangail,193530,235095
1984-1985,Barisal,98565,94490
1984-1985,Jessore,122080,151245
1984-1985,Khulna,87730,79990
1984-1985,Kushtia,9575,10250
1984-1985,Patuakhali,35425,19465
1984-1985,Bogra,188960,225100
