DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Faridpur,1975-1976,66545,60715
Faridpur,1976-1977,42625,38730
Faridpur,1977-1978,51345,51135
Faridpur,1978-1979,55530,56875
Faridpur,1979-1980,58250,60820
Faridpur,1980-1981,68540,55525
Faridpur,1981-1982,94310,104420
Faridpur,1982-1983,107115,130740
Faridpur,1983-1984,97285,89405
Faridpur,1984-1985,142295,171830
Faridpur,1985-1986,123475,142782
Faridpur,1986-1987,146465,160025
Faridpur,1987-1988,182018,215736
Faridpur,1988-1989,342290,360765
Faridpur,1989-1990,296890,351390
Faridpur,1990-1991,297360,348940
Faridpur,1991-1992,282460,300520
Faridpur,1992-1993,232260,263530
Faridpur,1993-1994,202500,218340
Faridpur,1994-1995,199710,200400
Faridpur,1995-1996,203760,219870
Faridpur,1996-1997,200610,242950
Faridpur,1997-1998,209530,251600
Faridpur,1998-1999,248380,342800
Faridpur,1999-2000,323200,456050
Faridpur,2000-2001,360090,533260
Faridpur,2001-2002,344120,511820
Faridpur,2002-2003,363350,551160
Faridpur,2003-2004,473970,737990
Faridpur,2004-2005,459354,719617
Faridpur,2005-2006,469215,745974
Faridpur,2006-2007,74980,114975
Faridpur,2007-2008,89370,142230
Faridpur,2008-2009,94108,156931
Faridpur,2009-2010,95283,149965
Faridpur,2010-2011,93556,156985
Faridpur,2011-2012,90667,172527
Faridpur,2012-2013,79710,145573
Faridpur,2013-2014,79968,139741
Faridpur,2014-2015,72886,120612
Feni,2006-2007,70650,94490
Feni,2007-2008,85410,129323
Feni,2008-2009,78201,117168
Feni,2009-2010,78097,102311
Feni,2010-2011,77123,109236
Feni,2011-2012,85113,119962
Feni,2012-2013,82007,121705
Feni,2013-2014,81950,121469
Feni,2014-2015,77898,111634
Gaibandha,2006-2007,252585,393009
Gaibandha,2007-2008,260430,437799
Gaibandha,2008-2009,276160,443945
Gaibandha,2009-2010,284275,466204
Gaibandha,2010-2011,284219,441922
Gaibandha,2011-2012,292282,440969
Gaibandha,2012-2013,290998,479830
Gaibandha,2013-2014,295808,484925
Gaibandha,2014-2015,307024,480520
Gazipur,2006-2007,137120,182560
Gazipur,2007-2008,144880,208434
Gazipur,2008-2009,146044,217819
Gazipur,2009-2010,144801,247999
Gazipur,2010-2011,142772,220675
Gazipur,2011-2012,147028,250778
Gazipur,2012-2013,147644,237235
Gazipur,2013-2014,149429,228161
Gazipur,2014-2015,149509,231718
Gopalgonj,2006-2007,172280,286069
Gopalgonj,2007-2008,183925,325191
Gopalgonj,2008-2009,184092,331198
Gopalgonj,2009-2010,192535,330598
Gopalgonj,2010-2011,188352,352866
Gopalgonj,2011-2012,192005,372428
Gopalgonj,2012-2013,189748,357827
Gopalgonj,2013-2014,190461,353127
Gopalgonj,2014-2015,199907,369965
Hobigonj,2006-2007,225915,242283
Hobigonj,2007-2008,252850,385975
Hobigonj,2008-2009,251463,363905
Hobigonj,2009-2010,317233,483918
Hobigonj,2010-2011,248031,335824
Hobigonj,2011-2012,253281,353705
Hobigonj,2012-2013,252774,346432
Hobigonj,2013-2014,253443,335085
Hobigonj,2014-2015,278283,405436
Jamalpur,1972-1973,0,0
Jamalpur,1976-1977,0,0
Jamalpur ,1977-1978,0,0
Jamalpur,1978-1979,67695,44890
Jamalpur,1979-1980,75665,50020
Jamalpur,1980-1981,77665,61785
Jamalpur,1981-1982,109275,113315
Jamalpur,1982-1983,119425,129410
Jamalpur,1983-1984,124560,115990
Jamalpur,1984-1985,172615,172420
Jamalpur,1985-1986,141445,140640
Jamalpur,1986-1987,164075,169525
Jamalpur,1987-1988,219325,222365
Jamalpur,1988-1989,252770,236180
Jamalpur,1989-1990,254020,246160
Jamalpur,1990-1991,245760,261960
Jamalpur,1991-1992,248500,276900
Jamalpur,1992-1993,257700,281170
Jamalpur,1993-1994,241120,238720
Jamalpur,1994-1995,263790,273810
Jamalpur,1995-1996,270580,289150
Jamalpur,1996-1997,278940,303470
Jamalpur,1997-1998,292520,335780
Jamalpur,1998-1999,366060,453480
Jamalpur,1999-2000,349460,419870
Jamalpur,2000-2001,356940,444880
Jamalpur,2001-2002,369400,447960
Jamalpur,2002-2003,376550,449090
Jamalpur,2003-2004,379810,503020
Jamalpur,2004-2005,381963,519782
Jamalpur,2005-2006,391615,543871
Jamalpur,2006-2007,266035,407950
Jamalpur,2007-2008,277680,449677
Jamalpur,2008-2009,273063,435651
Jamalpur,2009-2010,324229,518931
Jamalpur,2010-2011,315824,516448
Jamalpur,2011-2012,315809,514704
Jamalpur,2012-2013,310802,529120
Jamalpur,2013-2014,318134,506840
Jamalpur,2014-2015,439222,702751
Jessore,1969-1970,19840,23850
Jessore,1970-1971,23670,29375
Jessore,1971-1972,14830,15605
Jessore,1972-1973,19235,21285
Jessore,1973-1974,26270,25900
Jessore,1974-1975,34160,35800
Jessore,1975-1976,22170,21155
Jessore,1976-1977,18640,18955
Jessore,1977-1978,23550,26600
Jessore,1978-1979,17190,18060
Jessore,1979-1980,20815,17465
Jessore,1980-1981,31005,25955
Jessore,1981-1982,59510,62275
Jessore,1982-1983,70235,78195
Jessore,1983-1984,75745,76870
Jessore,1984-1985,122080,151245
Jessore,1985-1986,65910,80995
Jessore,1986-1987,95690,115300
Jessore,1987-1988,158700,210309
Jessore,1988-1989,325800,401340
Jessore,1989-1990,281470,316740
Jessore,1990-1991,276460,356130
Jessore,1991-1992,287380,367420
Jessore,1992-1993,319190,365870
Jessore,1993-1994,276850,325500
Jessore,1994-1995,325530,364600
Jessore,1995-1996,362610,424040
Jessore,1996-1997,370730,447600
Jessore,1997-1998,445950,593260
Jessore,1998-1999,547570,732810
Jessore,1999-2000,616730,811770
Jessore,2000-2001,633640,897400
Jessore,2001-2002,607260,866360
Jessore,2002-2003,601870,866800
Jessore,2003-2004,667170,968640
Jessore,2004-2005,667629,1008922
Jessore,2005-2006,676805,1008640
Jessore,2006-2007,339140,591955
Jessore,2007-2008,374070,584947
Jessore,2008-2009,375624,600007
Jessore,2009-2010,386873,627644
Jessore,2010-2011,384554,647016
Jessore,2011-2012,385042,649269
Jessore,2012-2013,381693,644883
Jessore,2013-2014,392454,654035
Jessore,2014-2015,214866,368316
Jhalakathi,2006-2007,19565,25718
Jhalakathi,2007-2008,21335,29727
Jhalakathi,2008-2009,22214,31514
Jhalakathi,2009-2010,20645,31716
Jhalakathi,2010-2011,22242,28587
Jhalakathi,2011-2012,22555,28390
Jhalakathi,2012-2013,22414,30140
Jhalakathi,2013-2014,27694,44775
Jhalakathi,2014-2015,52295,79712
Jhenaidah,2006-2007,183745,293827
Jhenaidah,2007-2008,213905,264271
Jhenaidah,2008-2009,225505,308909
Jhenaidah,2009-2010,225229,356080
Jhenaidah,2010-2011,221346,348935
Jhenaidah,2011-2012,230025,378627
Jhenaidah,2012-2013,217579,364831
Jhenaidah,2013-2014,216308,364891
Jhenaidah,2014-2015,94172,148980
Joypurhat,2006-2007,167375,273585
Joypurhat,2007-2008,169670,294952
Joypurhat,2008-2009,171860,278439
Joypurhat,2009-2010,175081,290514
Joypurhat,2010-2011,172478,294826
Joypurhat,2011-2012,172028,300424
Joypurhat,2012-2013,174505,310277
Joypurhat,2013-2014,170458,313101
Joypurhat,2014-2015,170996,283056
Khagrachari,1980-1981,0,0
Khagrachari,1981-1982,0,0
Khagrachari,1982-1983,0,0
Khagrachari,1983-1984,9540,7695
Khagrachari,1984-1985,8555,7781
Khagrachari,1985-1986,9320,9641
Khagrachari,1986-1987,7640,8290
Khagrachari,1987-1988,7145,6754
Khagrachari,1988-1989,3520,2650
Khagrachari,1989-1990,3580,2860
Khagrachari,1990-1991,3970,3020
Khagrachari,1991-1992,4040,3560
Khagrachari,1992-1993,4120,3640
Khagrachari,1993-1994,4050,3620
Khagrachari,1994-1995,3830,2580
Khagrachari,1995-1996,3680,3230
Khagrachari,1996-1997,3660,3430
Khagrachari,1997-1998,3990,3800
Khagrachari,1998-1999,3790,4030
Khagrachari,1999-2000,10110,10200
Khagrachari,2000-2001,11170,10380
Khagrachari,2001-2002,10940,11280
Khagrachari,2002-2003,11010,11430
Khagrachari,2003-2004,12000,13580
Khagrachari,2004-2005,13070,15744
Khagrachari,2005-2006,13130,15762
Khagrachari,2006-2007,20915,27770
Khagrachari,2007-2008,23155,32335
Khagrachari,2008-2009,24090,28557
Khagrachari,2009-2010,27888,33551
Khagrachari,2010-2011,25722,36266
Khagrachari,2011-2012,26134,35650
Khagrachari,2012-2013,25383,33326
Khagrachari,2013-2014,25280,34202
Khagrachari,2014-2015,25537,35101
Khulna,1969-1970,41865,33630
Khulna,1970-1971,53695,44930
Khulna,1971-1972,47675,30825
Khulna,1972-1973,51765,38320
Khulna,1973-1974,47955,31610
Khulna,1974-1975,53970,35120
Khulna,1975-1976,44700,28660
Khulna,1976-1977,31175,18595
Khulna,1977-1978,44885,32285
Khulna,1978-1979,44510,30720
Khulna,1979-1980,53360,38685
Khulna,1980-1981,53885,39145
Khulna,1981-1982,53545,40500
Khulna,1982-1983,54925,44175
Khulna,1983-1984,50100,41730
Khulna,1984-1985,87730,79990
Khulna,1985-1986,84325,74916
Khulna,1986-1987,65510,59610
Khulna,1987-1988,79590,78398
Khulna,1988-1989,105940,90555
Khulna,1989-1990,104980,90870
Khulna,1990-1991,113390,100290
Khulna,1991-1992,137350,117150
Khulna,1992-1993,156330,159870
Khulna,1993-1994,124470,113370
Khulna,1994-1995,119980,114660
Khulna,1995-1996,121880,120510
Khulna,1996-1997,130690,134680
Khulna,1997-1998,132150,138150
Khulna,1998-1999,193360,214930
Khulna,1999-2000,205900,234800
Khulna,2000-2001,209550,246830
Khulna,2001-2002,200670,218190
Khulna,2002-2003,204420,240450
Khulna,2003-2004,294350,355860
Khulna,2004-2005,270302,334953
Khulna,2005-2006,284240,374823
Khulna,2006-2007,85440,113713
Khulna,2007-2008,95835,149530
Khulna,2008-2009,98333,139626
Khulna,2009-2010,106157,158228
Khulna,2010-2011,107614,162899
