DistrictName,Financial Year,TotalArea(Acres),TotalProduction(Tons)
Dinajpur,1974-1975,455420,167430
Dinajpur,1975-1976,475230,178225
Dinajpur,1976-1977,498780,198530
Dinajpur,1977-1978,458780,167045
Dinajpur,1978-1979,497925,201895
Dinajpur,1979-1980,441005,163610
Dinajpur,1980-1981,483205,187700
Dinajpur,1981-1982,0,416430
Dinajpur,1982-1983,381675,160800
Dinajpur,1983-1984,426560,192885
Dinajpur,1984-1985,433295,194113
Dinajpur,1985-1986,382540,169910
Dinajpur,1986-1987,315110,145675
Dinajpur,1987-1988,0,340840
Dinajpur,1988-1989,314955,133035
Dinajpur,1989-1990,215110,82140
Dinajpur,1990-1991,215360,88510
Dinajpur,1991-1992,180670,77750
Dinajpur,1992-1993,180670,77750
Dinajpur,1993-1994,115790,53090
Dinajpur,1994-1995,110150,31070
Dinajpur,1995-1996,53900,31270
Dinajpur,1996-1997,95090,43290
Dinajpur,1997-1998,90370,41960
Dinajpur,1998-1999,83890,39620
Dinajpur,1999-2000,72270,34120
Dinajpur,2000-2001,42040,30840
Dinajpur,2001-2002,28770,15510
Dinajpur,2002-2003,31960,26680
Dinajpur,2003-2004,27130,23780
Dinajpur,2004-2005,24980,19480
Dinajpur,2005-2006,20866,17752
Dinajpur,2006-2007,19260,14343
Dinajpur,2007-2008,25145,17608
Dinajpur,2008-2009,22755,22245
Dinajpur,2009-2010,9578,7826
Dinajpur,2010-2011,10705,8603
Dinajpur,2011-2012,14314,15678
Dinajpur,2012-2013,54201,30776
Dinajpur,2013-2014,57176,37392
Dinajpur,2014-2015,12067,11216
Faridpur,1969-1970,577015,164925
Faridpur,1970-1971,0,479420
Faridpur,1971-1972,435560,117600
Faridpur,1972-1973,539500,153000
Faridpur,1973-1974,489225,138260
Faridpur,1974-1975,572305,176270
Faridpur,1975-1976,585000,171920
Faridpur,1976-1977,599775,143650
Faridpur,1977-1978,554605,118205
Faridpur,1978-1979,551100,150380
Faridpur,1979-1980,531140,122995
Faridpur,1980-1981,427805,121725
Faridpur,1981-1982,0,517000
Faridpur,1982-1983,542225,146155
Faridpur,1983-1984,545530,157765
Faridpur,1984-1985,467190,107464
Faridpur,1985-1986,560900,149845
Faridpur,1986-1987,602530,211660
Faridpur,1987-1988,0,649690
Faridpur,1988-1989,688820,232700
Faridpur,1989-1990,588790,206795
Faridpur,1990-1991,497050,139140
Faridpur,1991-1992,420190,131010
Faridpur,1992-1993,420190,131010
Faridpur,1993-1994,433360,134670
Faridpur,1994-1995,448740,162210
Faridpur,1995-1996,1390,1240
Faridpur,1996-1997,408260,149770
Faridpur,1997-1998,393480,122450
Faridpur,1998-1999,378610,117650
Faridpur,1999-2000,373810,133270
Faridpur,2000-2001,317710,132840
Faridpur,2001-2002,335960,129700
Faridpur,2002-2003,317070,127970
Faridpur,2003-2004,327240,142180
Faridpur,2004-2005,220300,75590
Faridpur,2005-2006,197718,73436
Faridpur,2006-2007,41920,12678
Faridpur,2007-2008,19740,5512
Faridpur,2008-2009,35265,14034
Faridpur,2009-2010,32845,12374
Faridpur,2010-2011,23593,8557
Faridpur,2011-2012,18825,5272
