FinancialYear,District Name,TotalArea(Acres),TotalProduction(Tons)
1999-2000,Barisal,352910,170860
1999-2000,Jessore,247890,134770
1999-2000,Khulna,52020,32700
1999-2000,Kushtia,177530,110540
1999-2000,Patuakhali,223510,111820
1999-2000,Bogra,26370,17560
1999-2000,Dinajpur,72270,34120
1999-2000,Pabna,54970,21880
1999-2000,Rajshahi,174110,104380
1999-2000,Rangpur,46500,21440
2000-2001,Bandarban,30180,17870
2000-2001,Chittagong,106640,86960
2000-2001,Comilla,266460,197330
2000-2001,Khagrachari,3700,2830
2000-2001,Noakhali,219240,122050
2000-2001,Rangamati,11430,7360
2000-2001,Sylhet,396940,245440
2000-2001,Dhaka,117280,44170
2000-2001,Faridpur,317710,132840
2000-2001,Jamalpur,65140,32470
2000-2001,Kishoregonj,139750,95560
2000-2001,Mymensingh,186180,116570
2000-2001,Tangail,62210,22500
2000-2001,Barisal,357900,185360
2000-2001,Jessore,220870,152920
2000-2001,Khulna,31390,20670
2000-2001,Kushtia,173320,106020
2000-2001,Patuakhali,253490,146690
2000-2001,Bogra,19730,13450
2000-2001,Dinajpur,42040,30840
2000-2001,Pabna,60460,22870
2000-2001,Rajshahi,161010,99140
2000-2001,Rangpur,31700,13690
2001-2002,Bandarban,23400,14020
2001-2002,Chittagong,113580,90730
2001-2002,Comilla,271060,199690
2001-2002,Khagrachari,5200,3850
2001-2002,Noakhali,218990,129980
2001-2002,Rangamati,11110,6680
2001-2002,Sylhet,323550,215120
2001-2002,Dhaka,114850,48540
2001-2002,Faridpur,335960,129700
2001-2002,Jamalpur,51960,28010
2001-2002,Kishoregonj,102820,72310
2001-2002,Mymensingh,169220,114840
2001-2002,Tangail,58830,19790
2001-2002,Barisal,386160,210670
2001-2002,Jessore,170780,115200
2001-2002,Khulna,32080,22490
2001-2002,Kushtia,152690,95370
2001-2002,Patuakhali,248180,138170
2001-2002,Bogra,18060,12120
2001-2002,Dinajpur,28770,15510
2001-2002,Pabna,62860,23710
2001-2002,Rajshahi,144650,91240
2001-2002,Rangpur,24790,9980
2002-2003,Bandarban,25990,15610
2002-2003,Chittagong,118190,99430
2002-2003,Comilla,248920,182030
2002-2003,Khagrachari,5790,4640
2002-2003,Noakhali,224800,133980
2002-2003,Rangamati,12680,7190
2002-2003,Sylhet,339500,219070
2002-2003,Dhaka,108390,42490
2002-2003,Faridpur,317070,127970
2002-2003,Jamalpur,46760,22930
2002-2003,Kishoregonj,94900,69200
2002-2003,Mymensingh,168720,104440
2002-2003,Tangail,56160,33760
2002-2003,Barisal,374970,196350
2002-2003,Jessore,173240,127630
2002-2003,Khulna,29720,20940
2002-2003,Kushtia,142430,86110
2002-2003,Patuakhali,253360,152210
2002-2003,Bogra,17940,12740
2002-2003,Dinajpur,31960,26680
2002-2003,Pabna,70520,29450
2002-2003,Rajshahi,184020,118070
2002-2003,Rangpur,27330,17780
2003-2004,Bandarban,25320,15170
2003-2004,Chittagong,126820,108360
2003-2004,Comilla,229040,165300
2003-2004,Khagrachari,5870,6640
2003-2004,Noakhali,213550,123190
2003-2004,Rangamati,11850,7860
2003-2004,Sylhet,291360,213460
2003-2004,Dhaka,107500,46340
2003-2004,Faridpur,327240,142180
