DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Comilla,2009-2010,368455,341627
Comilla,2010-2011,361548,349487
Comilla,2011-2012,352781,342915
Comilla,2012-2013,355550,338564
Comilla,2013-2014,347072,326956
Comilla,2014-2015,343998,292803
Cox's Bazar,2006-2007,174520,188959
Cox's Bazar,2007-2008,161305,174746
Cox's Bazar,2008-2009,176510,212418
Cox's Bazar,2009-2010,181152,224699
Cox's Bazar,2010-2011,184632,207762
Cox's Bazar,2011-2012,182297,213334
Cox's Bazar,2012-2013,181104,221200
Cox's Bazar,2013-2014,178357,179658
Cox's Bazar,2014-2015,179172,175192
Dhaka,1969-1970,765390,312720
Dhaka,1970-1971,674300,266655
Dhaka,1971-1972,682250,302490
Dhaka,1972-1973,737720,275915
Dhaka,1973-1974,726700,304915
Dhaka,1974-1975,477000,187195
Dhaka,1975-1976,703365,357875
Dhaka,1976-1977,730900,316265
Dhaka,1977-1978,711320,344075
Dhaka,1978-1979,734595,358310
Dhaka,1979-1980,696170,332765
Dhaka,1980-1981,655420,337585
Dhaka,1981-1982,652610,315175
Dhaka,1982-1983,650250,315055
Dhaka,1983-1984,648480,312090
Dhaka,1984-1985,634450,301180
Dhaka,1985-1986,621540,309690
Dhaka,1986-1987,695215,335545
Dhaka,1987-1988,573270,258080
Dhaka,1988-1989,367715,148600
Dhaka,1989-1990,430280,241600
Dhaka,1990-1991,479930,249020
Dhaka,1991-1992,488070,261330
Dhaka,1992-1993,489450,266390
Dhaka,1993-1994,457690,242210
Dhaka,1994-1995,451350,231800
Dhaka,1995-1996,405740,188060
Dhaka,1996-1997,426630,243080
Dhaka,1997-1998,393290,208110
Dhaka,1998-1999,277420,112120
Dhaka,1999-2000,426970,241720
Dhaka,2000-2001,491320,392150
Dhaka,2001-2002,502040,502040
Dhaka,2002-2003,473940,371430
Dhaka,2003-2004,464760,401450
Dhaka,2004-2005,444055,290585
Dhaka,2005-2006,430452,310173
Dhaka,2006-2007,44170,25042
Dhaka,2007-2008,18330,9691
Dhaka,2008-2009,39990,28872
Dhaka,2009-2010,50121,28772
Dhaka,2010-2011,44927,26151
Dhaka,2011-2012,39280,23810
Dhaka,2012-2013,47145,27797
Dhaka,2013-2014,39810,25676
Dhaka,2014-2015,31759,15604
Dinajpur,1969-1970,888530,407065
Dinajpur,1970-1971,893380,455405
Dinajpur,1971-1972,792830,285855
Dinajpur,1972-1973,741400,327010
Dinajpur,1973-1974,876485,484850
Dinajpur,1974-1975,850805,441220
Dinajpur,1975-1976,802370,420695
Dinajpur,1976-1977,808620,433845
Dinajpur,1977-1978,805740,438385
Dinajpur,1978-1979,807740,427875
Dinajpur,1979-1980,850635,433165
Dinajpur,1980-1981,884660,497605
Dinajpur,1981-1982,880865,442845
Dinajpur,1982-1983,875150,453675
Dinajpur,1983-1984,880805,498180
Dinajpur,1984-1985,870395,529000
Dinajpur,1985-1986,869605,545785
Dinajpur,1986-1987,866875,525085
Dinajpur,1987-1988,858205,504820
Dinajpur,1988-1989,1011355,624425
Dinajpur,1989-1990,1082910,763120
Dinajpur,1990-1991,1057600,793460
Dinajpur,1991-1992,1043090,713620
Dinajpur,1992-1993,1028070,735430
Dinajpur,1993-1994,957730,684730
Dinajpur,1994-1995,861720,518250
Dinajpur,1995-1996,990400,624450
Dinajpur,1996-1997,1030900,671870
Dinajpur,1997-1998,959050,600440
Dinajpur,1998-1999,943070,473000
Dinajpur,1999-2000,1034870,630180
Dinajpur,2000-2001,1034270,799250
Dinajpur,2001-2002,951700,951700
Dinajpur,2002-2003,964890,666910
Dinajpur,2003-2004,964550,725330
Dinajpur,2004-2005,987329,718648
Dinajpur,2005-2006,1008173,823558
Dinajpur,2006-2007,568075,469396
Dinajpur,2007-2008,579720,553907
Dinajpur,2008-2009,604585,602007
Dinajpur,2009-2010,607395,581075
Dinajpur,2010-2011,604853,637965
Dinajpur,2011-2012,610853,606407
Dinajpur,2012-2013,607702,631882
Dinajpur,2013-2014,195229,166802
Dinajpur,2014-2015,300796,339766
Faridpur,1969-1970,786200,303645
Faridpur,1970-1971,686009,181385
Faridpur,1971-1972,592870,127105
Faridpur,1972-1973,742260,198315
Faridpur,1973-1974,728655,236675
Faridpur,1974-1975,560550,343390
Faridpur,1975-1976,716635,244135
Faridpur,1976-1977,753500,224300
Faridpur,1977-1978,710095,242345
Faridpur,1978-1979,724100,273335
Faridpur,1979-1980,660130,206400
Faridpur,1980-1981,686535,193680
Faridpur,1981-1982,683590,210275
Faridpur,1982-1983,714790,227050
Faridpur,1983-1984,683225,237730
Faridpur,1984-1985,537420,185825
Faridpur,1985-1986,669400,255720
Faridpur,1986-1987,688955,258750
