Area,Year,Item,Area Harvested,Yield,Production
Bangladesh,1967,Barley,22700,6696,15200
Bangladesh,1967,"Bastfibres, others",51100,11342,57960
Bangladesh,1967,"Beans, dry",74058,7820,57912
Bangladesh,1967,"Beans, green",4236,44880,19011
Bangladesh,1967,Berries nes,800,37500,3000
Bangladesh,1967,Cabbages and other brassicas,5725,70103,40134
Bangladesh,1967,Castor oil seed,405,5012,203
Bangladesh,1967,Cauliflowers and broccoli,5381,61500,33093
Bangladesh,1967,Chick peas,59100,8257,48800
Bangladesh,1967,"Chillies and peppers, dry",80500,6944,55900
Bangladesh,1967,Coconuts,37600,25131,94493
Bangladesh,1967,Cucumbers and gherkins,2519,53108,13378
Bangladesh,1967,Fibre crops nes,350,10000,350
Bangladesh,1967,"Fruit, fresh nes",9000,66667,60000
Bangladesh,1967,"Fruit, tropical fresh nes",16700,124132,207300
Bangladesh,1967,Garlic,14600,37603,54900
Bangladesh,1967,Ginger,4700,68085,32000
Bangladesh,1967,Grapefruit (inc. pomelos),700,42857,3000
Bangladesh,1967,"Groundnuts, with shell",28300,14735,41700
Bangladesh,1967,Jute,971000,13019,1264140
Bangladesh,1967,Lemons and limes,1500,26667,4000
Bangladesh,1967,Lentils,70800,7034,49800
Bangladesh,1967,Lettuce and chicory,11500,56522,65000
Bangladesh,1967,Linseed,17800,5112,9100
Bangladesh,1967,Maize,3200,9375,3000
Bangladesh,1967,"Mangoes, mangosteens, guavas",38000,134211,510000
Bangladesh,1967,"Melons, other (inc.cantaloupes)",6000,166667,100000
Bangladesh,1967,Millet,52600,8886,46738
Bangladesh,1967,Oilseeds nes,4856,6277,3048
Bangladesh,1967,"Onions, dry",34400,57587,198100
Bangladesh,1967,Oranges,1100,90909,10000
Bangladesh,1967,"Peas, dry",60000,6500,39000
Bangladesh,1967,Pigeon peas,3642,8369,3048
Bangladesh,1967,Pineapples,10100,91536,92451
Bangladesh,1967,Potatoes,70400,85298,600500
Bangladesh,1967,Pulses nes,141600,6024,85300
Bangladesh,1967,"Rice, paddy",9889400,16944,16757000
Bangladesh,1967,Sesame seed,52200,5843,30500
